0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:14 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:14 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:14 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:14 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:14 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:14 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marcas/ HTTP/1.1" 200 1158
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:14 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 6620
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:14 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarMarca?valorBusca= HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:14 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:14 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
